,Symbol  ,Date  ,Expiry  ,Strike Price  ,Call Price,Underlying Value  ,Put Price
75,WIPRO,22-Dec-2023,28-Dec-2023,427.5,36.85,462.65,0.8
76,WIPRO,22-Dec-2023,28-Dec-2023,417.5,50.55,462.65,0.45
77,WIPRO,22-Dec-2023,28-Dec-2023,397.5,48.55,462.65,0.2
78,WIPRO,22-Dec-2023,25-Jan-2024,340.0,48.65,462.65,4.35
79,WIPRO,22-Dec-2023,25-Jan-2024,495.0,11.65,462.65,38.4
80,WIPRO,22-Dec-2023,25-Jan-2024,455.0,28.05,462.65,15.4
81,WIPRO,22-Dec-2023,25-Jan-2024,410.0,60.95,462.65,3.2
82,WIPRO,22-Dec-2023,25-Jan-2024,367.5,29.25,462.65,11.95
83,WIPRO,22-Dec-2023,25-Jan-2024,457.5,27.1,462.65,16.5
84,WIPRO,22-Dec-2023,25-Jan-2024,362.5,32.4,462.65,10.15
85,WIPRO,22-Dec-2023,25-Jan-2024,485.0,14.95,462.65,31.4
86,WIPRO,22-Dec-2023,25-Jan-2024,500.0,10.4,462.65,113.35
87,WIPRO,22-Dec-2023,25-Jan-2024,390.0,55.0,462.65,1.6
88,WIPRO,22-Dec-2023,25-Jan-2024,442.5,36.3,462.65,10.6
89,WIPRO,22-Dec-2023,25-Jan-2024,327.5,59.0,462.65,2.45
90,WIPRO,22-Dec-2023,25-Jan-2024,437.5,39.75,462.65,8.75
91,WIPRO,22-Dec-2023,25-Jan-2024,375.0,24.95,462.65,15.05
92,WIPRO,22-Dec-2023,25-Jan-2024,350.0,41.0,462.65,6.5
93,WIPRO,22-Dec-2023,25-Jan-2024,330.0,56.9,462.65,2.75
94,WIPRO,22-Dec-2023,25-Jan-2024,407.5,11.3,462.65,33.3
95,WIPRO,22-Dec-2023,25-Jan-2024,490.0,13.2,462.65,34.8
96,WIPRO,22-Dec-2023,25-Jan-2024,430.0,44.95,462.65,6.75
97,WIPRO,22-Dec-2023,25-Jan-2024,397.5,14.65,462.65,26.85
98,WIPRO,22-Dec-2023,25-Jan-2024,422.5,22.0,462.65,5.1
99,WIPRO,22-Dec-2023,25-Jan-2024,365.0,30.8,462.65,11.05
100,WIPRO,22-Dec-2023,25-Jan-2024,492.5,0.7,462.65,106.15
101,WIPRO,22-Dec-2023,25-Jan-2024,385.0,19.9,462.65,19.8
102,WIPRO,22-Dec-2023,25-Jan-2024,380.0,22.35,462.65,1.15
103,WIPRO,22-Dec-2023,25-Jan-2024,447.5,31.6,462.65,12.3
104,WIPRO,22-Dec-2023,25-Jan-2024,400.0,69.35,462.65,2.25
105,WIPRO,22-Dec-2023,25-Jan-2024,370.0,69.0,462.65,0.95
106,WIPRO,22-Dec-2023,25-Jan-2024,462.5,23.8,462.65,18.95
107,WIPRO,22-Dec-2023,25-Jan-2024,502.5,0.5,462.65,115.75
108,WIPRO,22-Dec-2023,25-Jan-2024,515.0,5.45,462.65,127.85
109,WIPRO,22-Dec-2023,25-Jan-2024,432.5,5.5,462.65,7.45
110,WIPRO,22-Dec-2023,25-Jan-2024,395.0,15.65,462.65,25.35
111,WIPRO,22-Dec-2023,25-Jan-2024,337.5,50.65,462.65,3.9
112,WIPRO,22-Dec-2023,25-Jan-2024,347.5,42.85,462.65,5.9
113,WIPRO,22-Dec-2023,25-Jan-2024,440.0,37.25,462.65,9.5
114,WIPRO,22-Dec-2023,25-Jan-2024,357.5,35.7,462.65,8.55
115,WIPRO,22-Dec-2023,25-Jan-2024,335.0,52.7,462.65,3.45
116,WIPRO,22-Dec-2023,25-Jan-2024,352.5,39.2,462.65,7.15
117,WIPRO,22-Dec-2023,25-Jan-2024,412.5,18.35,462.65,3.55
118,WIPRO,22-Dec-2023,25-Jan-2024,520.0,0.25,462.65,132.75
119,WIPRO,22-Dec-2023,25-Jan-2024,517.5,0.25,462.65,130.3
120,WIPRO,22-Dec-2023,25-Jan-2024,435.0,40.1,462.65,8.0
121,WIPRO,22-Dec-2023,25-Jan-2024,382.5,38.8,462.65,18.55
122,WIPRO,22-Dec-2023,25-Jan-2024,452.5,29.5,462.65,14.2
123,WIPRO,22-Dec-2023,25-Jan-2024,445.0,33.85,462.65,11.2
124,WIPRO,22-Dec-2023,25-Jan-2024,405.0,44.15,462.65,2.7
125,WIPRO,22-Dec-2023,25-Jan-2024,342.5,46.65,462.65,4.8
126,WIPRO,22-Dec-2023,25-Jan-2024,355.0,37.4,462.65,7.85
127,WIPRO,22-Dec-2023,25-Jan-2024,510.0,7.85,462.65,123.0
128,WIPRO,22-Dec-2023,25-Jan-2024,482.5,16.6,462.65,96.65
129,WIPRO,22-Dec-2023,25-Jan-2024,487.5,0.85,462.65,101.4
130,WIPRO,22-Dec-2023,25-Jan-2024,465.0,23.05,462.65,19.9
131,WIPRO,22-Dec-2023,25-Jan-2024,345.0,44.75,462.65,5.35
132,WIPRO,22-Dec-2023,25-Jan-2024,425.0,47.65,462.65,5.6
133,WIPRO,22-Dec-2023,25-Jan-2024,460.0,25.4,462.65,17.5
134,WIPRO,22-Dec-2023,25-Jan-2024,480.0,16.5,462.65,28.65
135,WIPRO,22-Dec-2023,25-Jan-2024,420.0,52.2,462.65,4.65
136,WIPRO,22-Dec-2023,25-Jan-2024,497.5,11.0,462.65,110.95
137,WIPRO,22-Dec-2023,25-Jan-2024,377.5,23.65,462.65,16.15
138,WIPRO,22-Dec-2023,25-Jan-2024,332.5,54.75,462.65,3.1
139,WIPRO,22-Dec-2023,25-Jan-2024,512.5,0.3,462.65,125.45
140,WIPRO,22-Dec-2023,25-Jan-2024,507.5,0.4,462.65,120.6
141,WIPRO,22-Dec-2023,25-Jan-2024,475.0,18.55,462.65,24.8
142,WIPRO,22-Dec-2023,25-Jan-2024,387.5,37.1,462.65,21.1
143,WIPRO,22-Dec-2023,25-Jan-2024,417.5,54.1,462.65,4.35
144,WIPRO,22-Dec-2023,25-Jan-2024,427.5,47.2,462.65,6.05
145,WIPRO,22-Dec-2023,25-Jan-2024,392.5,16.65,462.65,23.9
146,WIPRO,22-Dec-2023,25-Jan-2024,472.5,9.25,462.65,23.8
147,WIPRO,22-Dec-2023,25-Jan-2024,415.0,55.45,462.65,3.85
148,WIPRO,22-Dec-2023,25-Jan-2024,372.5,26.35,462.65,13.95
149,WIPRO,22-Dec-2023,25-Jan-2024,477.5,17.0,462.65,26.9
150,WIPRO,22-Dec-2023,25-Jan-2024,450.0,30.7,462.65,13.15
151,WIPRO,22-Dec-2023,25-Jan-2024,402.5,12.9,462.65,30.0
152,WIPRO,22-Dec-2023,25-Jan-2024,467.5,21.8,462.65,21.05
153,WIPRO,22-Dec-2023,25-Jan-2024,505.0,7.5,462.65,118.2
154,WIPRO,22-Dec-2023,25-Jan-2024,360.0,62.85,462.65,0.75
155,WIPRO,22-Dec-2023,25-Jan-2024,470.0,20.65,462.65,22.6
156,WIPRO,22-Dec-2023,29-Feb-2024,497.5,2.55,462.65,78.1
157,WIPRO,22-Dec-2023,29-Feb-2024,392.5,37.05,462.65,9.45
158,WIPRO,22-Dec-2023,29-Feb-2024,367.5,55.85,462.65,3.7
159,WIPRO,22-Dec-2023,29-Feb-2024,402.5,30.7,462.65,12.95
160,WIPRO,22-Dec-2023,29-Feb-2024,450.0,37.65,462.65,16.95
161,WIPRO,22-Dec-2023,29-Feb-2024,400.0,32.2,462.65,4.3
162,WIPRO,22-Dec-2023,29-Feb-2024,417.5,22.55,462.65,19.5
163,WIPRO,22-Dec-2023,29-Feb-2024,447.5,11.05,462.65,37.45
164,WIPRO,22-Dec-2023,29-Feb-2024,377.5,47.9,462.65,5.55
165,WIPRO,22-Dec-2023,29-Feb-2024,390.0,38.75,462.65,8.7
166,WIPRO,22-Dec-2023,29-Feb-2024,505.0,2.0,462.65,84.9
167,WIPRO,22-Dec-2023,29-Feb-2024,517.5,1.3,462.65,96.5
168,WIPRO,22-Dec-2023,29-Feb-2024,375.0,49.8,462.65,5.05
169,WIPRO,22-Dec-2023,29-Feb-2024,382.5,44.1,462.65,6.7
170,WIPRO,22-Dec-2023,29-Feb-2024,372.5,51.8,462.65,4.6
171,WIPRO,22-Dec-2023,29-Feb-2024,370.0,53.8,462.65,4.15
172,WIPRO,22-Dec-2023,29-Feb-2024,485.0,3.8,462.65,67.05
173,WIPRO,22-Dec-2023,29-Feb-2024,467.5,6.4,462.65,52.45
174,WIPRO,22-Dec-2023,29-Feb-2024,520.0,1.2,462.65,98.85
175,WIPRO,22-Dec-2023,29-Feb-2024,492.5,3.0,462.65,73.65
176,WIPRO,22-Dec-2023,29-Feb-2024,460.0,7.9,462.65,46.6
177,WIPRO,22-Dec-2023,29-Feb-2024,360.0,62.15,462.65,2.65
178,WIPRO,22-Dec-2023,29-Feb-2024,512.5,1.55,462.65,91.85
179,WIPRO,22-Dec-2023,29-Feb-2024,482.5,4.1,462.65,64.9
180,WIPRO,22-Dec-2023,29-Feb-2024,365.0,57.95,462.65,3.35
181,WIPRO,22-Dec-2023,29-Feb-2024,362.5,60.05,462.65,3.0
182,WIPRO,22-Dec-2023,29-Feb-2024,407.5,27.8,462.65,14.95
183,WIPRO,22-Dec-2023,29-Feb-2024,495.0,2.8,462.65,75.85
184,WIPRO,22-Dec-2023,29-Feb-2024,430.0,50.0,462.65,26.25
185,WIPRO,22-Dec-2023,29-Feb-2024,487.5,3.5,462.65,69.25
186,WIPRO,22-Dec-2023,29-Feb-2024,397.5,33.8,462.65,11.1
187,WIPRO,22-Dec-2023,29-Feb-2024,507.5,1.85,462.65,87.2
188,WIPRO,22-Dec-2023,29-Feb-2024,480.0,4.45,462.65,62.8
189,WIPRO,22-Dec-2023,29-Feb-2024,435.0,15.1,462.65,29.25
