RELIANCE.BO,HDFCBANK.BO,INFY.BO,ICICIBANK.BO,TCS.BO,KOTAKBANK.BO,HINDUNILVR.BO,BHARTIARTL.BO,LT.BO,SBIN.BO,ASHOKLEY.BO,BIOCON.BO,GLENMARK.BO,JSWSTEEL.BO,MRF.BO,PIDILITIND.BO,TORNTPHARMA.BO,UBL.BO,ZEEL.BO,PETRONET.BO,BSESN
1219.108887,1028.779907,730.208496,359.123474,1945.178711,1251.465942,1735.249268,304.391937,1296.793823,287.758606,80.731873,323.902222,645.322876,273.448151,61200.78125,1106.897095,889.004456,1415.744507,376.354004,209.771469,36616.81
1239.17749,1033.970337,736.978699,349.510712,1960.772217,1256.30896,1768.728394,308.504669,1307.852173,278.881104,83.115089,332.737976,655.229614,273.348572,61099.95313,1112.449585,883.109131,1440.432983,352.661835,203.649094,36975.23
1282.741821,1041.558472,736.10199,349.609283,1976.607178,1270.988159,1775.522705,303.846924,1290.721558,278.194458,81.774529,326.29837,640.319946,271.854858,59963.14844,1109.475098,897.982056,1431.292847,344.747986,193.199661,36971.09
1281.897461,1045.463623,734.738159,347.390961,1973.903564,1277.279175,1793.296021,305.085663,1288.697388,279.077301,81.327675,324.725922,630.016968,272.502106,60005.32813,1111.805176,889.885071,1413.012329,361.367096,202.406219,36546.48
1301.320068,1049.467773,742.920898,353.848785,2006.24939,1277.229248,1800.533569,305.531616,1295.065918,282.706787,81.923485,316.464233,634.772217,278.128418,59950.17188,1114.135376,881.592407,1397.463989,383.773254,201.945908,36395.03
1281.797974,1046.526489,743.602783,353.700897,2008.228516,1281.523071,1808.755615,308.157867,1283.711304,282.118195,86.987839,327.646179,633.137573,271.705475,59535.63281,1151.962402,882.815491,1383.703979,404.497681,204.661819,36153.62
1269.031616,1049.54187,740.193359,349.90506,1991.669556,1293.705811,1789.554321,310.784027,1246.241089,279.616791,86.094131,326.847473,608.71759,261.448669,56373.78516,1140.460327,876.94458,1371.682495,395.050507,206.733307,36034.11
1245.287231,1056.561523,741.89801,344.383881,1994.373291,1302.842773,1777.688965,310.238983,1230.196533,274.466858,82.370331,321.48114,597.721069,260.054565,55259.29297,1118.200562,879.977905,1369.19873,398.166595,206.687271,35876.22
1248.516113,1052.779785,730.987793,339.602173,1979.986572,1296.751465,1767.349854,308.702881,1228.913086,270.150726,80.781517,321.456177,597.820251,270.659882,55252.05469,1123.406128,881.00531,1379.928589,410.433105,204.984055,35808.95
1217.519409,1042.917847,720.661987,338.271149,1974.193237,1286.515991,1754.893555,298.34671,1211.683594,261.959869,83.909508,321.33139,602.575439,279.273621,56212.66406,1104.319092,866.499207,1394.831177,428.634979,199.690262,35498.44
1235.4021,1038.641968,722.561584,337.186615,1960.917114,1281.922607,1745.883911,301.617126,1227.530762,257.938049,79.540253,307.204193,564.335571,266.079193,55096.07031,1084.73645,869.165649,1330.352783,425.222137,197.664825,35352.61
1211.806763,1033.130005,720.954224,333.785187,1903.80542,1276.330444,1725.451782,299.783722,1224.568604,254.799042,78.596893,302.936066,571.022583,260.901001,54330.82813,1063.765503,860.579468,1335.717529,432.938171,198.401367,35756.26
1208.428955,1030.337158,706.390991,338.517639,1839.210693,1276.230713,1712.109375,301.518005,1239.872681,257.496613,78.69619,307.428802,573.598328,265.282532,54227.85547,1049.884033,863.588257,1337.158203,441.297211,197.618805,35898.35
1226.311646,1041.33606,720.905518,340.341614,1848.47998,1289.461914,1707.038208,306.770386,1258.978027,261.959869,80.384308,308.576996,581.474121,273.000031,54951.16797,1066.194824,864.077515,1348.434448,440.110107,195.869553,35871.48
1238.332886,1045.587158,714.378845,345.468414,1846.355713,1287.065186,1726.731812,307.414581,1266.037598,262.450348,80.533264,310.324158,581.424561,275.887848,54635.30469,1066.244263,864.95813,1350.570557,441.74234,198.217239,36213.38
1224.57312,1033.970337,714.378845,346.799408,1859.5354,1239.283325,1740.714355,310.189423,1263.272949,265.589386,81.278023,309.874878,586.62561,283.953888,54767.33203,1066.839233,863.392517,1354.991577,443.770294,198.631531,35973.71
1224.126099,1049.640869,735.371399,350.496613,1916.598755,1239.483032,1743.274414,315.194061,1260.755249,265.049866,82.519287,307.778259,586.37793,286.89151,55158.96484,1093.26355,883.109131,1347.639648,440.802582,201.117294,35905.43
1211.75708,1043.165039,722.512878,343.200775,1962.317139,1233.990845,1739.926514,312.518341,1248.166504,261.224182,82.618584,309.300781,582.910645,283.455994,55707.32813,1114.878906,886.362549,1330.153931,464.148499,204.201508,35867.44
1214.489258,1033.945801,715.69397,340.933136,1982.979736,1214.069336,1709.155273,317.077026,1266.72876,262.156097,84.207413,307.62851,578.799316,282.609528,56817.48047,1132.875366,886.16687,1324.73938,458.658234,204.431656,36063.81
1223.530029,1029.27417,714.963379,343.89093,1915.874634,1210.723999,1704.822632,315.094971,1278.13269,264.608429,85.746574,310.299194,589.845337,279.871063,56639.28516,1142.443481,883.402649,1334.2771,461.527008,205.628525,36442.54
1218.711426,1029.793335,721.977112,348.52478,1923.019653,1224.853882,1708.367554,304.292847,1292.103882,267.747437,85.945183,315.216248,591.727539,280.916687,57027.125,1133.22229,873.373169,1368.35437,481.311676,205.582489,36636.1
1228.894775,1041.805542,713.648254,357.250244,1919.350586,1238.434448,1697.782227,305.283844,1290.12915,270.78833,90.016533,313.119629,597.820251,289.878937,57524.61719,1132.627319,868.01593,1370.540039,479.432159,208.25238,36725.42
1255.321655,1039.605835,713.258606,366.370026,1930.502563,1239.083618,1674.347046,306.572205,1298.324097,272.357849,89.917229,312.2211,598.117371,288.434998,58404.06641,1131.635986,880.858521,1382.412354,465.681793,209.357178,36671.43
1261.580566,1049.294678,704.540161,365.18689,1942.185547,1235.289063,1677.251709,305.97757,1334.165161,275.791138,90.115829,305.207428,603.863281,288.733765,57837.58594,1126.132813,868.798706,1376.74939,453.613129,210.968323,37054.1
1258.351685,1051.741699,694.116943,364.94043,1952.613525,1236.137939,1674.937744,305.97757,1321.428345,275.889252,89.122818,306.904663,592.916321,285.646759,57044.08984,1115.870483,871.929871,1370.738647,450.002441,215.341431,37535.66
1292.52771,1052.952881,693.240295,370.609528,1944.696045,1247.072266,1687.984741,330.703552,1330.610718,281.333435,92.449402,310.923187,609.212891,290.92453,57614.11328,1129.900757,876.235229,1373.669556,447.974518,219.990738,37752.17
1321.189819,1072.998047,688.613159,382.73642,1943.199463,1260.802612,1707.53064,347.649994,1371.536621,281.039154,92.449402,316.88855,627.639343,290.874756,57112.92578,1120.679443,902.947876,1388.770752,458.658234,220.174881,37754.89
1337.979736,1100.433472,690.804932,386.335052,1932.192261,1259.255005,1719.395996,334.32077,1361.268066,287.07193,92.896263,308.626892,624.815979,284.750549,57304.74609,1166.587402,888.906616,1365.473145,443.275665,222.66066,38024.32
1332.46582,1099.024536,690.025574,382.440643,1920.074707,1268.691406,1710.730835,339.771393,1361.860596,285.600525,93.144516,308.701782,624.518799,285.796143,57107.73438,1159.993652,897.957642,1369.645752,445.69928,218.701828,38095.07
1313.986938,1112.989502,700.253967,390.130859,1969.896606,1323.413452,1672.623779,333.973938,1379.682251,292.025696,93.194168,310.898224,633.632935,287.140472,57382.01172,1157.068604,909.112305,1374.762329,449.903503,217.643066,38363.47
1338.824219,1117.908081,691.389343,392.201263,1951.647949,1340.988281,1671.442139,327.680939,1361.41626,292.761414,91.704643,312.944946,637.298401,293.862152,57308.53906,1164.604248,904.709167,1381.269897,452.574463,223.0289,38386.75
1366.294067,1120.997681,702.835388,392.546356,1954.930786,1346.280762,1673.559204,333.627045,1339.595703,296.979431,90.860588,313.568939,639.725525,287.040894,57308.24219,1166.835205,915.350159,1373.719116,461.527008,224.91626,38164.61
1366.641846,1136.569092,719.39563,387.468842,1946.047729,1348.977051,1663.318481,330.753113,1355.492065,297.666107,90.215126,313.543945,643.341553,281.514191,56802.85156,1161.134033,914.542969,1376.848755,438.477875,222.752701,37808.91
1333.360107,1124.532227,722.951233,386.088562,1935.571655,1332.500488,1652.831787,328.176453,1376.374634,292.41806,88.775261,307.503693,638.388184,284.551361,56411.32422,1174.42041,913.540039,1359.313354,430.563995,222.430496,38233.41
1316.619751,1128.06665,716.765503,378.102539,1918.43335,1306.93689,1647.366821,324.261932,1359.787109,288.200012,86.83889,305.032684,630.314148,277.580719,55935.9375,1168.273071,911.705383,1312.618652,412.757813,219.714539,38132.88
